Mécanisme,Variable,Modalité,N total,Événements,Taux brut,Type de données,Précaution
Orientation,Âge,34–41 ans,92,4,0.043478260869565216,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Orientation,Âge,42 ans et plus,66,7,0.10606060606060606,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Poteaux,Sexe,Femme,171,4,0.023391812865497075,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Poteaux,Sexe,Homme,169,12,0.07100591715976332,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Poteaux,Profil physique,Profil non physique,272,10,0.03676470588235294,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Poteaux,Profil physique,Profil physique,68,6,0.08823529411764706,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Poteaux,Âge,18–25 ans,80,2,0.025,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Poteaux,Âge,26–33 ans,102,4,0.0392156862745098,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Poteaux,Âge,34–41 ans,92,7,0.07608695652173914,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Poteaux,Âge,42 ans et plus,66,3,0.045454545454545456,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Défaite au jury final,Sexe,Femme,171,7,0.04093567251461988,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Défaite au jury final,Sexe,Homme,169,8,0.047337278106508875,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Défaite au jury final,Profil physique,Profil non physique,272,10,0.03676470588235294,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Défaite au jury final,Profil physique,Profil physique,68,5,0.07352941176470588,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Défaite au jury final,Âge,18–25 ans,80,4,0.05,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Défaite au jury final,Âge,26–33 ans,102,6,0.058823529411764705,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Défaite au jury final,Âge,34–41 ans,92,1,0.010869565217391304,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Défaite au jury final,Âge,42 ans et plus,66,4,0.06060606060606061,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Abandon volontaire,Sexe,Femme,171,6,0.03508771929824561,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Abandon volontaire,Sexe,Homme,169,7,0.04142011834319527,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Abandon volontaire,Profil physique,Profil non physique,272,11,0.04044117647058824,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Abandon volontaire,Profil physique,Profil physique,68,2,0.029411764705882353,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Abandon volontaire,Âge,18–25 ans,80,6,0.075,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Abandon volontaire,Âge,26–33 ans,102,2,0.0196078431372549,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Abandon volontaire,Âge,34–41 ans,92,4,0.043478260869565216,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Abandon volontaire,Âge,42 ans et plus,66,1,0.015151515151515152,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Ambassadeurs,Sexe,Femme,171,2,0.011695906432748537,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Ambassadeurs,Sexe,Homme,169,9,0.05325443786982249,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Ambassadeurs,Profil physique,Profil non physique,272,9,0.03308823529411765,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Ambassadeurs,Profil physique,Profil physique,68,2,0.029411764705882353,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Ambassadeurs,Âge,18–25 ans,80,4,0.05,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Ambassadeurs,Âge,26–33 ans,102,3,0.029411764705882353,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Ambassadeurs,Âge,34–41 ans,92,1,0.010869565217391304,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Ambassadeurs,Âge,42 ans et plus,66,3,0.045454545454545456,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
