candidate_season_key,season_id,season_name,candidate_name,age_missing,gender_missing,profession_missing,physical_score_missing,physical_score_current,profile_documentation_sufficient,research_task_type,research_priority_score,external_research_priority,external_research_request,queue_reason_valid,query_quality_valid,duplicate_status,audit_status,audit_warning
KL17::isabelle haouzi,KL17,Koh-Lanta : Johor,Isabelle Haouzi,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Isabelle Haouzi (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::margot perrot houwaer,KL17,Koh-Lanta : Johor,Margot Perrot Houwaer,False,True,False,True,,False,MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Margot Perrot Houwaer (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::alban pellegrin,KL17,Koh-Lanta : Johor,Alban Pellegrin,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alban Pellegrin (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::corinne bargoin samuelian,KL17,Koh-Lanta : Johor,Corinne Bargoin Samuelian,False,True,False,True,,False,MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Corinne Bargoin Samuelian (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::cédric giosserand-lucas,KL17,Koh-Lanta : Johor,Cédric Giosserand-Lucas,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Cédric Giosserand-Lucas (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::charlaine cuny,KL17,Koh-Lanta : Johor,Charlaine Cuny,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Charlaine Cuny (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::nessim kouachi,KL17,Koh-Lanta : Johor,Nessim Kouachi,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Nessim Kouachi (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::jeff santiago,KL17,Koh-Lanta : Johor,Jeff Santiago,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jeff Santiago (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::christophe pendon,KL17,Koh-Lanta : Johor,Christophe Pendon,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Christophe Pendon (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::jessica potel,KL17,Koh-Lanta : Johor,Jessica Potel,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jessica Potel (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::sébastien ballesteros,KL17,Koh-Lanta : Johor,Sébastien Ballesteros,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sébastien Ballesteros (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::bruno peisey,KL17,Koh-Lanta : Johor,Bruno Peisey,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Bruno Peisey (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::mélissa bastin,KL17,Koh-Lanta : Johor,Mélissa Bastin,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Mélissa Bastin (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::chantel ménard,KL17,Koh-Lanta : Johor,Chantel Ménard,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Chantel Ménard (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::marc rambaud,KL17,Koh-Lanta : Johor,Marc Rambaud,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Marc Rambaud (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL31::myriam zenasni,KL31,Koh-Lanta : L'Île au trésor,Myriam Zenasni,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Myriam Zenasni (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::amandine schmitt,KL31,Koh-Lanta : L'Île au trésor,Amandine Schmitt,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Amandine Schmitt (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::sophie le nestic sabattier,KL31,Koh-Lanta : L'Île au trésor,Sophie Le Nestic Sabattier,False,True,False,True,,False,MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sophie Le Nestic Sabattier (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::sandrine bouzekri,KL31,Koh-Lanta : L'Île au trésor,Sandrine Bouzekri,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sandrine Bouzekri (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::laurent mischkind,KL31,Koh-Lanta : L'Île au trésor,Laurent Mischkind,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Laurent Mischkind (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::jean-luc duboscq,KL31,Koh-Lanta : L'Île au trésor,Jean-Luc Duboscq,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jean-Luc Duboscq (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::jérôme merlier,KL31,Koh-Lanta : L'Île au trésor,Jérôme Merlier,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jérôme Merlier (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
"KL31::laurent ""lau"" émilien",KL31,Koh-Lanta : L'Île au trésor,"Laurent ""Lau"" Émilien",False,True,False,True,,False,MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Laurent ""Lau"" Émilien (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::béryl libault de la chevasnerie,KL31,Koh-Lanta : L'Île au trésor,Béryl Libault de la Chevasnerie,False,True,False,True,,False,MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Béryl Libault de la Chevasnerie (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::alexandra pharisien,KL31,Koh-Lanta : L'Île au trésor,Alexandra Pharisien,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Pharisien (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::yannick delalleau,KL31,Koh-Lanta : L'Île au trésor,Yannick Delalleau,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Yannick Delalleau (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::julie navarro-camilleri,KL31,Koh-Lanta : L'Île au trésor,Julie Navarro-Camilleri,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Julie Navarro-Camilleri (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::jérémy raffin,KL31,Koh-Lanta : L'Île au trésor,Jérémy Raffin,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jérémy Raffin (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::stéphane cipolla,KL31,Koh-Lanta : L'Île au trésor,Stéphane Cipolla,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Stéphane Cipolla (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::ludivine wiart,KL31,Koh-Lanta : L'Île au trésor,Ludivine Wiart,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Ludivine Wiart (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::candice boisson,KL31,Koh-Lanta : L'Île au trésor,Candice Boisson,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Candice Boisson (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::bruno troester,KL31,Koh-Lanta : L'Île au trésor,Bruno Troester,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Bruno Troester (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::freddy bolzer,KL31,Koh-Lanta : L'Île au trésor,Freddy Bolzer,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Freddy Bolzer (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::jesta hillmann,KL31,Koh-Lanta : L'Île au trésor,Jesta Hillmann,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jesta Hillmann (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL31::benoît assadi,KL31,Koh-Lanta : L'Île au trésor,Benoît Assadi,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Benoît Assadi (Koh-Lanta : L'Île au trésor, 2016)",True,True,UNIQUE,PASS,
KL22::aliséa,KL22,Koh-Lanta : La Guerre des Chefs,Aliséa,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Aliséa (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::carinne,KL22,Koh-Lanta : La Guerre des Chefs,Carinne,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Carinne (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::émilie,KL22,Koh-Lanta : La Guerre des Chefs,Émilie,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Émilie (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::victor,KL22,Koh-Lanta : La Guerre des Chefs,Victor,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Victor (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::chloé,KL22,Koh-Lanta : La Guerre des Chefs,Chloé,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Chloé (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::xavier,KL22,Koh-Lanta : La Guerre des Chefs,Xavier,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Xavier (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::frédéric,KL22,Koh-Lanta : La Guerre des Chefs,Frédéric,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Frédéric (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::alexandre,KL22,Koh-Lanta : La Guerre des Chefs,Alexandre,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandre (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::béatrice,KL22,Koh-Lanta : La Guerre des Chefs,Béatrice,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Béatrice (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::brice,KL22,Koh-Lanta : La Guerre des Chefs,Brice,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Brice (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::sophie,KL22,Koh-Lanta : La Guerre des Chefs,Sophie,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sophie (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::angélique,KL22,Koh-Lanta : La Guerre des Chefs,Angélique,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Angélique (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::mohamed,KL22,Koh-Lanta : La Guerre des Chefs,Mohamed,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Mohamed (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::nicolas,KL22,Koh-Lanta : La Guerre des Chefs,Nicolas,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Nicolas (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::maxime,KL22,Koh-Lanta : La Guerre des Chefs,Maxime,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maxime (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::cyril,KL22,Koh-Lanta : La Guerre des Chefs,Cyril,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Cyril (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::clo,KL22,Koh-Lanta : La Guerre des Chefs,Clo,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Clo (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::aurélien,KL22,Koh-Lanta : La Guerre des Chefs,Aurélien,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Aurélien (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::steeve,KL22,Koh-Lanta : La Guerre des Chefs,Steeve,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Steeve (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::cindy,KL22,Koh-Lanta : La Guerre des Chefs,Cindy,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Cindy (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
KL22::maud,KL22,Koh-Lanta : La Guerre des Chefs,Maud,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maud (Koh-Lanta : La Guerre des Chefs, 2019)",True,True,UNIQUE,PASS,
"KL25::céline ""lili"" gasnier",KL25,Koh-Lanta : Le Totem Maudit,"Céline ""Lili"" Gasnier",False,True,False,True,,False,MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Céline ""Lili"" Gasnier (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
KL25::céline dufrenoy,KL25,Koh-Lanta : Le Totem Maudit,Céline Dufrenoy,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Céline Dufrenoy (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
KL25::franck macia,KL25,Koh-Lanta : Le Totem Maudit,Franck Macia,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Franck Macia (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
KL25::mattéo real,KL25,Koh-Lanta : Le Totem Maudit,Mattéo Real,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Mattéo Real (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
KL25::samira aït-brahim,KL25,Koh-Lanta : Le Totem Maudit,Samira Aït-Brahim,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Samira Aït-Brahim (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
KL25::benjamin breerette,KL25,Koh-Lanta : Le Totem Maudit,Benjamin Breerette,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Benjamin Breerette (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
KL25::stéphanie tribot,KL25,Koh-Lanta : Le Totem Maudit,Stéphanie Tribot,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Stéphanie Tribot (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
KL25::jean-philippe masy,KL25,Koh-Lanta : Le Totem Maudit,Jean-Philippe Masy,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jean-Philippe Masy (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
KL25::alexandra élizé,KL25,Koh-Lanta : Le Totem Maudit,Alexandra Élizé,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Élizé (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
KL25::setha el hajjami,KL25,Koh-Lanta : Le Totem Maudit,Setha El Hajjami,False,True,False,True,,False,MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Setha El Hajjami (Koh-Lanta : Le Totem Maudit, 2022)",True,True,UNIQUE,PASS,
