season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,same_day_exit_group,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,had_temporary_elimination,returned_to_game,first_exit_order,first_exit_type,first_exit_model_category,first_exit_description,final_exit_type,final_exit_model_category,final_exit_description,model_exit_order,model_exit_type,model_exit_category,physical_score,physical_score_justification,physical_score_sources,source_row_number,scraped_at,gender_normalized,gender_source_url,gender_source_excerpt,gender_confidence,profession_normalized,profession_category,profession_source_url,profession_source_excerpt,profession_confidence,departure_source_url,departure_source_excerpt,departure_confidence,enrichment_status,enrichment_notes,enriched_at
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Julien Castro,aventurier / il,29,Menuisier,8th Voted Out 3rd jury member Day 23,11,0.5,Day 23,,8th Voted Out 3rd jury member Day 23,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,11,CONSEIL,DECISION_AVENTURIERS,8th Voted Out 3rd jury member Day 23,CONSEIL,DECISION_AVENTURIERS,8th Voted Out 3rd jury member Day 23,11,CONSEIL,DECISION_AVENTURIERS,,,,11,2026-07-19T16:27:48.672159+00:00,MALE,https://www.tf1info.fr/culture/koh-lanta-2016-episode-8-julien-quitte-laventure-1508323.html,Julien s'est mis en danger en révélant qu'il était épuisé [...] Il quitte la baie le cœur lourd.,HIGH,Menuisier,MANUEL_TECHNIQUE,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,Julien au look de hipster est un menuisier de 29 ans.,HIGH,,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Menuisier aux côtés de son père selon le portrait de candidat. Source officielle contemporaine de la saison.,2026-07-19T20:24:32.298794+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Laureen Hugel,candidate / elle,26,Étudiante en mode et création,9th Voted Out 4th jury member Day 26,12,0.55,Day 26,Day 26,9th Voted Out 4th jury member Day 26,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,12,CONSEIL,DECISION_AVENTURIERS,9th Voted Out 4th jury member Day 26,CONSEIL,DECISION_AVENTURIERS,9th Voted Out 4th jury member Day 26,12,CONSEIL,DECISION_AVENTURIERS,,,,12,2026-07-19T16:27:48.672159+00:00,FEMALE,https://kohlanta.fandom.com/fr/wiki/Laureen_Hugel,Laureen Hugel est une des candidates de Koh Lanta : Thaïlande.,MEDIUM,Étudiante en mode et création,ETUDIANT,https://survivor.fandom.com/wiki/Laureen_Hugel,Métier : Etudiante en mode et création.,MEDIUM,,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | La fiche secondaire indique que le profil a été récupéré depuis l'ancien portrait TF1. Une source officielle archivée serait préférable, mais l'information est suffisamment cohérente pour une confiance moyenne.",2026-07-19T20:24:32.299254+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Steve Best,aventurier / jeune homme,33,Entrepreneur textile,10th Voted Out 5th jury member Day 26,13,0.6,Day 26,Day 26,10th Voted Out 5th jury member Day 26,DESTINS_LIES_SUITE_CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,13,DESTINS_LIES_SUITE_CONSEIL,DECISION_AVENTURIERS,10th Voted Out 5th jury member Day 26,DESTINS_LIES_SUITE_CONSEIL,DECISION_AVENTURIERS,10th Voted Out 5th jury member Day 26,13,DESTINS_LIES_SUITE_CONSEIL,DECISION_AVENTURIERS,,,,13,2026-07-19T16:27:48.672159+00:00,MALE,https://www.tf1info.fr/culture/koh-lanta-thailande-steve-se-defend-il-nest-pas-macho-1508933.html,"Steve, candidat de la saison Koh-Lanta Thaïlande [...] le jeune homme éliminé.",HIGH,Entrepreneur dans le textile,COMMERCE_GESTION,https://survivor.fandom.com/wiki/Steve_Best,Métier : Entrepreneur Textile.,MEDIUM,https://kohlanta.fandom.com/fr/wiki/Laureen_Hugel,Laureen a été éliminée et a donc entraîné Steve dans son élimination.,HIGH,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Sortie issue de données validées (lot 1) | La profession provient d'une reproduction secondaire de l'ancien profil TF1. Le portrait officiel TF1 le décrit plus généralement comme entrepreneur.,2026-07-19T20:24:32.299581+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Carine Cazals,candidate / jeune femme,34,Gestionnaire de stock dans la fibre optique et gendarme réserviste,11th Voted Out 6th jury member Day 29,14,0.65,Day 29,,11th Voted Out 6th jury member Day 29,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,14,CONSEIL,DECISION_AVENTURIERS,11th Voted Out 6th jury member Day 29,CONSEIL,DECISION_AVENTURIERS,11th Voted Out 6th jury member Day 29,14,CONSEIL,DECISION_AVENTURIERS,,,,14,2026-07-19T16:27:48.672159+00:00,FEMALE,https://www.tf1info.fr/culture/carine-de-koh-lanta-ne-digere-pas-son-elimination-1507225.html,La jeune femme [...] a été éliminée par la tribu réunifiée.,HIGH,Gestionnaire de stock,MANUEL_TECHNIQUE,https://survivor.fandom.com/wiki/Carine_Cazals,"Gestionnaire de stock dans la fibre optique, gendarme réserviste, Carine est aussi passionnée de badminton.",MEDIUM,,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | L'activité principale indiquée est gestionnaire de stock dans la fibre optique. Gendarme réserviste est conservé comme activité secondaire et pourra servir de preuve complémentaire lors du futur scoring physique.,2026-07-19T20:24:32.299871+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Karima Neggaz,aventurière / elle,26,"Militaire de carrière, sergent",12th Voted Out 7th jury member Day 32,15,0.7,Day 32,,12th Voted Out 7th jury member Day 32,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,15,CONSEIL,DECISION_AVENTURIERS,12th Voted Out 7th jury member Day 32,CONSEIL,DECISION_AVENTURIERS,12th Voted Out 7th jury member Day 32,15,CONSEIL,DECISION_AVENTURIERS,,,,15,2026-07-19T16:27:48.672159+00:00,FEMALE,https://www.tf1info.fr/culture/koh-lanta-bonne-joueuse-karima-comprend-son-elimination-1510042.html,La guerrière de Koh-Lanta affirme comprendre son élimination.,HIGH,Militaire,SPORT_SECURITE,https://www.tf1info.fr/culture/koh-lanta-bonne-joueuse-karima-comprend-son-elimination-1510042.html,"Ça fait neuf ans que je suis militaire, je suis passée de soldat à sergent.",HIGH,,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession confirmée directement par Karima dans une interview reprise par TF1. Conserver les mentions de carrière militaire et de performances sportives pour la future phase de score physique, sans attribuer encore de score.",2026-07-19T20:24:32.300140+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Nicolas Rouyé,jeune mannequin / candidat,32,Mannequin,13th Voted Out 8th jury member Day 34,16,0.75,Day 34,,13th Voted Out 8th jury member Day 34,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,16,CONSEIL,DECISION_AVENTURIERS,13th Voted Out 8th jury member Day 34,CONSEIL,DECISION_AVENTURIERS,13th Voted Out 8th jury member Day 34,16,CONSEIL,DECISION_AVENTURIERS,,,,16,2026-07-19T16:27:48.672159+00:00,MALE,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,Nicolas est un jeune mannequin de 32 ans.,HIGH,Mannequin,ART_MEDIA_COMMUNICATION,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,"Nicolas est un jeune mannequin de 32 ans, qui habite dans les Charente-Maritime.",HIGH,,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession indiquée dans une présentation officielle TF1 contemporaine de la saison. Conserver les mentions de sports de glisse et de ski nautique pour la future phase physique, sans calculer de score maintenant.",2026-07-19T20:24:32.300407+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Alain Chrisostome,doyen / candidat,56,Employé en supermarché,14th Voted Out 9th jury member Day 37,17,0.8,Day 37,,14th Voted Out 9th jury member Day 37,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,17,CONSEIL,DECISION_AVENTURIERS,14th Voted Out 9th jury member Day 37,CONSEIL,DECISION_AVENTURIERS,14th Voted Out 9th jury member Day 37,17,CONSEIL,DECISION_AVENTURIERS,,,,17,2026-07-19T16:27:48.672159+00:00,MALE,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,Alain est le doyen de cette saison 15.,HIGH,Employé de supermarché,COMMERCE_GESTION,https://survivor.fandom.com/wiki/Alain_Chrisostome,Métier : Employé en supermarché.,MEDIUM,,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession provenant d'une reproduction secondaire de l'ancien profil TF1. La source officielle actuelle confirme son identité et son âge, mais pas directement son métier. Conserver la mention de champion de pelote basque pour la future phase physique.",2026-07-19T20:24:32.300664+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Cécilia Siharaj,danseuse / candidate,28,Danseuse,Lost Challenge 10th jury member Day 38,18,0.85,Day 38,,Lost Challenge 10th jury member Day 38,COURSE_ORIENTATION,EPREUVE,EPREUVE,Lost Challenge explicitement indiqué dans la source,False,True,False,False,18,COURSE_ORIENTATION,EPREUVE,Lost Challenge 10th jury member Day 38,COURSE_ORIENTATION,EPREUVE,Lost Challenge 10th jury member Day 38,18,COURSE_ORIENTATION,EPREUVE,,,,18,2026-07-19T16:27:48.672159+00:00,FEMALE,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,Cecillia est une danseuse de 28 ans qui vient des Hauts-de-Seine.,HIGH,Danseuse professionnelle,ART_MEDIA_COMMUNICATION,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,Cecillia est une danseuse de 28 ans qui vient des Hauts-de-Seine.,HIGH,https://kohlanta.fandom.com/fr/wiki/C%C3%A9cilia_Siharaj,"Finalement, Cécilia a échoué à l'orientation. Elle est donc quatrième de la saison.",HIGH,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Sortie issue de données validées (lot 1) | Profession confirmée par une source officielle TF1. Conserver les mentions d'arts martiaux et de danse pour la future phase physique.,2026-07-19T20:24:32.300929+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Gabriel Gubbels,inspecteur / aventurier / Belge,40,Inspecteur de police,15th Voted Out 11th jury member Day 39,19,0.9,Day 39,,15th Voted Out 11th jury member Day 39,POTEAUX,EPREUVE,EPREUVE,Voted Out explicitement indiqué dans la source,False,True,False,False,19,POTEAUX,EPREUVE,15th Voted Out 11th jury member Day 39,POTEAUX,EPREUVE,15th Voted Out 11th jury member Day 39,19,POTEAUX,EPREUVE,,,,19,2026-07-19T16:27:48.672159+00:00,MALE,https://www.tf1info.fr/culture/vu-de-twitter-koh-lanta-thailande-gabriel-fouille-dans-le-sac-de-pascal-et-declenche-la-colere-des-internautes-1508931.html,"Le Belge, persuadé que c'était un mensonge, a donc fouillé dans le sac du Sudiste.",HIGH,Inspecteur de police,SPORT_SECURITE,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,"Gabriel vient de Belgique. À 40 ans, il est inspecteur de police.",HIGH,https://kohlanta.fandom.com/fr/wiki/Gabriel_Gubbels,Cause du départ : Éliminé aux poteaux.,HIGH,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Sortie issue de données validées (lot 1) | La profession principale est inspecteur de police. Une source secondaire mentionne également une activité de toiletteur pour chiens, qui peut être conservée en note mais ne remplace pas la profession principale.",2026-07-19T20:24:32.301177+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Pascal Salviani,candidat / dirigeant,48,Dirige sa propre entreprise,Runner-up Day 40,20,0.95,Day 40,Day 40,Runner-up Day 40,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up explicitement indiqué dans la source,False,True,False,False,20,FINALISTE,AUTRE_SORTIE,Runner-up Day 40,FINALISTE,AUTRE_SORTIE,Runner-up Day 40,20,FINALISTE,AUTRE_SORTIE,,,,20,2026-07-19T16:27:48.672159+00:00,MALE,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,"Amateur de défis, Pascal a 48 ans et dirige sa propre entreprise.",HIGH,Chef d'entreprise,COMMERCE_GESTION,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,"Amateur de défis, Pascal a 48 ans et dirige sa propre entreprise.",HIGH,,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | La nature exacte de l'entreprise n'est pas indiquée dans cette source. Ne pas inventer de secteur d'activité.,2026-07-19T20:24:32.301539+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Wendy Gervois,jeune boxeuse / gagnante,26,Boxeuse,Sole Survivor Day 40,21,1.0,Day 40,Day 40,Sole Survivor Day 40,VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,Sole Survivor explicitement indiqué dans la source,False,True,False,False,21,VAINQUEUR,AUTRE_SORTIE,Sole Survivor Day 40,VAINQUEUR,AUTRE_SORTIE,Sole Survivor Day 40,21,VAINQUEUR,AUTRE_SORTIE,,,,21,2026-07-19T16:27:48.672159+00:00,FEMALE,https://www.tf1.fr/fr-km/dossier/wendy-kl-thailande-2016,"La jeune boxeuse sait encaisser les coups, c'est une battante. Wendy remporte la saison 15 de Koh-Lanta Thaïlande face à Pascal.",HIGH,Boxeuse,SPORT_SECURITE,https://www.tf1.fr/fr-km/dossier/wendy-kl-thailande-2016,Wendy — Nord (59) — Boxeuse.,HIGH,,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession indiquée par le portrait officiel TF1 de la saison. D'autres sources indiquent qu'elle travaillait également comme surveillante dans un lycée, mais le métier déclaré dans le profil Koh-Lanta est Boxeuse. Les mentions de boxe anglaise depuis l'enfance doivent être conservées pour la future phase de score physique, sans attribuer encore de score.",2026-07-19T20:24:32.301903+00:00
