candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,season_year,age,gender,physical_score,event,censored,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,effective_departure_cause
KL31::bruno troester,KL31,Koh-Lanta : L'Île au trésor,Bruno Troester,17.0,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Challenge 9th jury member Day 40,FINALE_ORIENTATION,HIGH,Élimination pendant l'épreuve finale d'orientation.,FINALE_ORIENTATION,VALIDATED_FINAL_AUDIT_CORRECTION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_L%27%C3%AEle_au_tr%C3%A9sor,Bruno est éliminé lors de l'épreuve finale d'orientation.,,,,,,,,,,,,,,,,,,FINALE_ORIENTATION
KL01::guénaëlle biras,KL01,KL KL01,Guénaëlle Biras,15.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,FINALISTE,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL02::nicolas roy,KL02,KL KL02,Nicolas Roy,15.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,FINALISTE,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL08::frédéric favier,KL08,KL KL08,Frédéric Favier,16.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,FINALISTE,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL13::teheiura teahui,KL13,Koh-Lanta : Raja Ampat,Teheiura Teahui,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 41,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL15::brice [ n 6 ],KL15,Koh-Lanta : Malaisie,Brice [ N 6 ],19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Finaliste,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL17::chantel ménard,KL17,Koh-Lanta : Johor,Chantel Ménard,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 40,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL18::pascal salviani,KL18,Koh-Lanta : Thaïlande,Pascal Salviani,20.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 40,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL22::cindy,KL22,Koh-Lanta : La Guerre des Chefs,Cindy,20.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Finaliste [ 32 ] [source secondaire souhaitée],JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL25::géraldine nicolle,KL25,Koh-Lanta : Le Totem Maudit,Géraldine Nicolle,22.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-Up Day 39,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL26::tania,KL26,Koh-Lanta : Le Feu Sacré,Tania,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Finaliste [ 28 ],JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL27::meïssa seck,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Meïssa Seck,22.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 38,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL29::maël,KL29,Koh-Lanta : La Revanche des 4 Terres,Maël,23.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,"Finaliste [ 72 ] , [ 73 ] , [ 74 ]",JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL31::jesta hillmann,KL31,Koh-Lanta : L'Île au trésor,Jesta Hillmann,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 42,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL32::brice,KL32,Koh-Lanta : Les 4 Terres,Brice,23.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,"Finaliste [ 101 ] [source secondaire souhaitée] , [ 102 ] [source secondaire souhaitée] , [ 103 ] [source secondaire souhaitée]",JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL33::lucie,KL33,Koh-Lanta : Les Armes secrètes,Lucie,20.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,"Finaliste [ 110 ] , [ 111 ] , [ 112 ] , [ 113 ] , [ 114 ]",JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION
KL13::virginie jarry,KL13,Koh-Lanta : Raja Ampat,Virginie Jarry,13.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Medically evacuated 4th jury member Day 33,MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL15::sara [ n 1 ],KL15,Koh-Lanta : Malaisie,Sara [ N 1 ],3.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Abandon médical,MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL15::charles,KL15,Koh-Lanta : Malaisie,Charles,13.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Abandon médical,MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL17::loïc crespin,KL17,Koh-Lanta : Johor,Loïc Crespin,5.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Medically evacuated Day 13,MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL17::margot perrot houwaer,KL17,Koh-Lanta : Johor,Margot Perrot Houwaer,7.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Medically evacuated Day 19,MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL17::corinne bargoin samuelian,KL17,Koh-Lanta : Johor,Corinne Bargoin Samuelian,9.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Medically evacuated 2nd jury member Day 21,MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL22::aliséa,KL22,Koh-Lanta : La Guerre des Chefs,Aliséa,1.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,"Abandon médical [ 5 ] , [ 6 ]",MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL22::carinne,KL22,Koh-Lanta : La Guerre des Chefs,Carinne,2.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Abandon médical [ 7 ] [source secondaire souhaitée],MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL25::jean-philippe masy,KL25,Koh-Lanta : Le Totem Maudit,Jean-Philippe Masy,8.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Medically Evacuated Day 16,MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL26::martin,KL26,Koh-Lanta : Le Feu Sacré,Martin,6.0,ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,Abandon médical [ 16 ],MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL27::jean belmonte,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Jean Belmonte,15.0,ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,Medically Evacuated 5th Jury Member Day 32,MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL29::allan,KL29,Koh-Lanta : La Revanche des 4 Terres,Allan,2.0,ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,"Abandon médical [ 9 ] , [ 10 ] , [ 11 ]",MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL29::frédéric,KL29,Koh-Lanta : La Revanche des 4 Terres,Frédéric,11.0,ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,"Abandon médical [ 36 ] , [ 37 ] , [ 38 ]",MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL32::françois,KL32,Koh-Lanta : Les 4 Terres,François,1.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,"Abandon médical [ 17 ] [source secondaire souhaitée] , [ 18 ] [source secondaire souhaitée] , [ 19 ] [source secondaire souhaitée] , [ 20 ]",MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL32::samuel,KL32,Koh-Lanta : Les 4 Terres,Samuel,3.0,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,"Abandon médical [ 24 ] [source secondaire souhaitée] , [ 25 ] [source secondaire souhaitée] , [ 26 ] [source secondaire souhaitée]",MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL33::gabin,KL33,Koh-Lanta : Les Armes secrètes,Gabin,5.0,ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,"Abandon médical [ 36 ] , [ 37 ] , [ 38 ] , [ 39 ] , [ 40 ]",MEDICAL,HIGH,departure_type_normalized=ABANDON_MEDICAL,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,MEDICAL
KL01::marie,KL01,KL KL01,Marie,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 3.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::guillaume noël,KL01,KL KL01,Guillaume Noël,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 7.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::jean-luc,KL01,KL KL01,Jean-Luc,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 10.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::gaël,KL01,KL KL01,Gaël,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 13.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::harry,KL01,KL KL01,Harry,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 16.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::sandra,KL01,KL KL01,Sandra,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 19.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::david,KL01,KL KL01,David,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 22.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::stéphane,KL01,KL KL01,Stéphane,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 25.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::géraldine drouhet,KL01,KL KL01,Géraldine Drouhet,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 30.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::michèle,KL01,KL KL01,Michèle,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 33.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::william,KL01,KL KL01,William,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 36.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::françoise,KL01,KL KL01,Françoise,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 40.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL01::romain,KL01,KL KL01,Romain,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,ELIMINATION_CHALLENGE,HIGH,Élimination directe après une épreuve à enjeu éliminatoire.,ELIMINATION_CHALLENGE,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison précise qu'il termine dernier de l'épreuve du quiz et est éliminé directement.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,ELIMINATION_CHALLENGE
KL01::patricia,KL01,KL KL01,Patricia,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,ELIMINATION_CHALLENGE,HIGH,Élimination directe après une épreuve à enjeu éliminatoire.,ELIMINATION_CHALLENGE,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination directe lors de l'épreuve de l'idole en finale.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,ELIMINATION_CHALLENGE
KL02::xavier,KL02,KL KL02,Xavier,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,MEDICAL,HIGH,Sortie imposée par le médecin ou évacuation sanitaire.,MEDICAL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,La saison indique une évacuation médicale après une chute et une fracture cervicale.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,MEDICAL
KL02::caroline mercier,KL02,KL KL02,Caroline Mercier,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le tableau de saison indique une élimination au conseil.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL02::céline genty,KL02,KL KL02,Céline Genty,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le tableau de saison indique une élimination au conseil au jour 9.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
KL02::nelly,KL02,KL KL02,Nelly,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,Élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_001,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le tableau de saison indique une élimination au conseil au jour 12.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL
