candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL32::bertrand-kamal († décédé avant la finale),KL32,Koh-Lanta : Les 4 Terres,Bertrand-Kamal († décédé avant la finale),12.0,"Éliminé [ 57 ] , [ 58 ] , [ 59 ] , [ 60 ]",INDETERMINE,INDETERMINE,INDETERMINE,ELIMINATION_CHALLENGE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_4_Terres,Bertrand-Kamal termine dernier d'une épreuve d'immunité à élimination directe et quitte le jeu sans vote.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination directe après une épreuve à enjeu éliminatoire.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::sylviane,KL33,Koh-Lanta : Les Armes secrètes,Sylviane,1.0,"Éliminée [ 17 ] , [ 18 ] , [ 19 ] , [ 20 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,"Sylviane est la première candidate éliminée au Conseil, par sept voix.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::marie,KL33,Koh-Lanta : Les Armes secrètes,Marie,2.0,"Éliminée [ 21 ] , [ 22 ] , [ 23 ] , [ 24 ] , [ 25 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Marie est éliminée au Conseil au jour 6.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::élodie,KL33,Koh-Lanta : Les Armes secrètes,Élodie,3.0,"Éliminée [ 26 ] , [ 27 ] , [ 28 ] , [ 29 ] , [ 30 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Élodie est éliminée au Conseil au jour 9.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::candice,KL33,Koh-Lanta : Les Armes secrètes,Candice,4.0,"Éliminée [ 31 ] , [ 32 ] , [ 33 ] , [ 34 ] , [ 35 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Candice est éliminée au Conseil au jour 12.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::aurélien,KL33,Koh-Lanta : Les Armes secrètes,Aurélien,6.0,"Éliminé [ 41 ] , [ 42 ] , [ 43 ] , [ 44 ] , [ 45 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Aurélien est éliminé au Conseil au jour 15.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::frédéric,KL33,Koh-Lanta : Les Armes secrètes,Frédéric,7.0,"Éliminé [ 46 ] , [ 47 ] , [ 48 ] , [ 49 ] , [ 50 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,AMBASSADEURS,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Frédéric est éliminé par la décision commune des trois ambassadeurs.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination directe lors de la réunion des ambassadeurs.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::hervé,KL33,Koh-Lanta : Les Armes secrètes,Hervé,8.0,"Éliminé [ 51 ] , [ 52 ] , [ 53 ] , [ 54 ] , [ 55 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Hervé est éliminé au premier Conseil après la réunification.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::mathieu,KL33,Koh-Lanta : Les Armes secrètes,Mathieu,9.0,"Éliminé [ 56 ] , [ 57 ] , [ 58 ] , [ 59 ] , [ 60 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,ELIMINATION_CHALLENGE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Mathieu perd le duel éliminatoire face à Thomas et quitte directement le jeu.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination directe après une épreuve ou un duel à enjeu éliminatoire.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::shanice,KL33,Koh-Lanta : Les Armes secrètes,Shanice,10.0,"Éliminée [ 61 ] , [ 62 ] , [ 63 ] , [ 64 ] , [ 65 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Shanice est éliminée au Conseil au jour 20.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::myriam,KL33,Koh-Lanta : Les Armes secrètes,Myriam,11.0,"Éliminée [ 66 ] , [ 67 ] , [ 68 ] , [ 69 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Myriam est éliminée au Conseil au jour 23.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::vincent,KL33,Koh-Lanta : Les Armes secrètes,Vincent,12.0,"Éliminé [ 70 ] , [ 71 ] , [ 72 ] , [ 73 ] , [ 74 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Vincent est éliminé au Conseil au jour 27.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::laëtitia,KL33,Koh-Lanta : Les Armes secrètes,Laëtitia,13.0,"Éliminée [ 75 ] , [ 76 ] , [ 77 ] , [ 78 ] , [ 79 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,DESTINS_LIES,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Laëtitia est éliminée parce qu'elle est la partenaire de Vincent pendant les destins liés.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Sortie entraînée par l'élimination du partenaire de binôme.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::thomas,KL33,Koh-Lanta : Les Armes secrètes,Thomas,14.0,"Éliminé [ 80 ] , [ 81 ] , [ 82 ] , [ 83 ] , [ 84 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Thomas est éliminé au Conseil au jour 30.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::flavio,KL33,Koh-Lanta : Les Armes secrètes,Flavio,15.0,"Éliminé [ 85 ] , [ 86 ] , [ 87 ] , [ 88 ] , [ 89 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,ELIMINATION_CHALLENGE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Flavio termine dernier de l'épreuve d'immunité à élimination directe et quitte le jeu.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination directe après une épreuve à enjeu éliminatoire.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::magali,KL33,Koh-Lanta : Les Armes secrètes,Magali,16.0,"Éliminée [ 90 ] , [ 91 ] , [ 92 ] , [ 93 ] , [ 94 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,"Magali est d'abord éliminée au Conseil au jour 13, puis revient après l'évacuation médicale de Gabin ; seule sa première sortie est retenue.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Première sortie uniquement : élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::arnaud,KL33,Koh-Lanta : Les Armes secrètes,Arnaud,17.0,"Éliminé [ 95 ] , [ 96 ] , [ 97 ] , [ 98 ] , [ 99 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,FINALE_ORIENTATION,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Arnaud est éliminé lors de l'épreuve finale d'orientation.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale d'orientation.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::laure,KL33,Koh-Lanta : Les Armes secrètes,Laure,18.0,"Éliminée [ 100 ] , [ 101 ] , [ 102 ] , [ 103 ] , [ 104 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,FINALE_ORIENTATION,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Laure est éliminée lors de l'épreuve finale d'orientation.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale d'orientation.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL33::jonathan,KL33,Koh-Lanta : Les Armes secrètes,Jonathan,19.0,"Éliminé [ 105 ] , [ 106 ] , [ 107 ] , [ 108 ] , [ 109 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,FINALE_POTEAUX,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_Armes_Secr%C3%A8tes,Jonathan est éliminé après l'épreuve finale lorsque Maxine choisit Lucie pour l'accompagner devant le jury final.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination liée à l'épreuve finale des poteaux et au choix du vainqueur.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
