candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,allowed_departure_causes,classification_rule
KL01::marie,KL01,KL KL01,Marie,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 3.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,MEDICAL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,La saison indique une évacuation médicale après une infection rénale.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Sortie imposée par le médecin ou évacuation sanitaire.
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Le tableau de saison indique une élimination au conseil au jour 13.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,MEDICAL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Le tableau de saison indique un abandon sur décision médicale au jour 14.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Sortie imposée par le médecin ou évacuation sanitaire.
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Le tableau de saison indique une élimination au conseil au jour 16.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,"Richard est éliminé au premier Conseil, puis revient ultérieurement dans le jeu. Seule cette première sortie est utilisée analytiquement.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Première sortie uniquement : élimination au Conseil ; la seconde sortie médicale après retour est ignorée.
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Le tableau de saison indique une élimination au conseil au jour 22.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL03::sébastien loew,KL03,Koh-Lanta : Bocas del Toro,Sébastien Loew,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Sébastien est éliminé au Conseil avant de revenir ultérieurement dans le jeu. Seule cette première sortie est utilisée analytiquement.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Première sortie uniquement : élimination au Conseil ; la seconde sortie après retour est ignorée.
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Le tableau de saison indique une élimination au conseil au jour 28.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Le tableau de saison indique une élimination au conseil au jour 34.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Le tableau de saison indique une élimination au conseil au jour 37.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
