candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL15::namadia [ n 4 ],KL15,Koh-Lanta : Malaisie,Namadia [ N 4 ],9.0,Éliminé,INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,Namadia est éliminé au Conseil au jour 25.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::frédéric,KL22,Koh-Lanta : La Guerre des Chefs,Frédéric,7.0,"Éliminé [ 17 ] , [ 18 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,AMBASSADEURS,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,"Frédéric est désigné par les ambassadeurs Alexandre, Béatrice et Maxime et quitte l'aventure.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination directe lors de la réunion des ambassadeurs.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::alexandre,KL22,Koh-Lanta : La Guerre des Chefs,Alexandre,8.0,"Éliminé [ 17 ] , [ 19 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Alexandre est éliminé au premier Conseil après la réunification.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::béatrice,KL22,Koh-Lanta : La Guerre des Chefs,Béatrice,9.0,"Éliminée [ 20 ] , [ 21 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Béatrice est éliminée au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::brice,KL22,Koh-Lanta : La Guerre des Chefs,Brice,10.0,"Éliminé [ 22 ] , [ 23 ] [source secondaire souhaitée] , [ 24 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Brice est éliminé au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::sophie,KL22,Koh-Lanta : La Guerre des Chefs,Sophie,11.0,Éliminée [ 25 ] [source secondaire souhaitée],INDETERMINE,INDETERMINE,INDETERMINE,DESTINS_LIES,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,"Sophie est entraînée dans la sortie de Brice, son partenaire de binôme.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Sortie entraînée par l'élimination du partenaire de binôme.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::angélique,KL22,Koh-Lanta : La Guerre des Chefs,Angélique,12.0,Éliminée [ 26 ] [source secondaire souhaitée],INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Angélique est éliminée au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::mohamed,KL22,Koh-Lanta : La Guerre des Chefs,Mohamed,13.0,Éliminé [ 27 ] [source secondaire souhaitée],INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Mohamed est éliminé au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::nicolas,KL22,Koh-Lanta : La Guerre des Chefs,Nicolas,14.0,Éliminé [ 28 ] [source secondaire souhaitée],INDETERMINE,INDETERMINE,INDETERMINE,ELIMINATION_CHALLENGE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Nicolas termine dernier d'une épreuve à élimination directe et quitte le jeu.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination directe après une épreuve à enjeu éliminatoire.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::maxime,KL22,Koh-Lanta : La Guerre des Chefs,Maxime,15.0,Éliminé [ 29 ] [source secondaire souhaitée],INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Maxime est éliminé au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::cyril,KL22,Koh-Lanta : La Guerre des Chefs,Cyril,16.0,"Éliminé [ 30 ] [source secondaire souhaitée] , [ 31 ]",INDETERMINE,INDETERMINE,INDETERMINE,OTHER,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,"Après une égalité avec Clo au Conseil, Cyril tire la boule noire lors d'un tirage au sort et est éliminé.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Mécanisme distinct des ambassadeurs : tirage au sort après égalité au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::clo,KL22,Koh-Lanta : La Guerre des Chefs,Clo,17.0,Éliminée,INDETERMINE,INDETERMINE,INDETERMINE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Clo est éliminée lors de l'épreuve finale d'orientation.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale d'orientation.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::aurélien,KL22,Koh-Lanta : La Guerre des Chefs,Aurélien,18.0,Éliminé,INDETERMINE,INDETERMINE,INDETERMINE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Aurélien est éliminé lors de l'épreuve finale d'orientation.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale d'orientation.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::steeve,KL22,Koh-Lanta : La Guerre des Chefs,Steeve,19.0,Éliminé,INDETERMINE,INDETERMINE,INDETERMINE,FINALE_POTEAUX,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,"Steeve n'est pas choisi par Cindy, gagnante des poteaux, pour accéder au jury final.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination liée à l'épreuve finale des poteaux et au choix du vainqueur.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL25::franck macia,KL25,Koh-Lanta : Le Totem Maudit,Franck Macia,3.0,Left Competition Day 4,INDETERMINE,INDETERMINE,INDETERMINE,VOLUNTARY,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit,Franck décide volontairement de quitter l'aventure au jour 4.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Départ choisi volontairement par le candidat.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL25::pauline pourchaire,KL25,Koh-Lanta : Le Totem Maudit,Pauline Pourchaire,12.0,Eliminated 2nd Jury Member Day 25,INDETERMINE,INDETERMINE,INDETERMINE,ELIMINATION_CHALLENGE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit,Pauline termine dernière d'une épreuve éliminatoire et quitte directement le jeu.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination directe après une épreuve à enjeu éliminatoire.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL25::louana roy,KL25,Koh-Lanta : Le Totem Maudit,Louana Roy,16.0,Eliminated 6th Jury Member Day 31,INDETERMINE,INDETERMINE,INDETERMINE,DESTINS_LIES,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit,"Louana est éliminée parce qu'elle est en binôme avec Maxime, visé par le vote.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Sortie entraînée par l'élimination du partenaire de binôme.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
