mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
MEDICAL,Blessure / médical,RISK_SET_ROBUST,Âge,34–41 ans,85,4,0.047058823529411764,0.018449962264952782,0.1148389474350076
MEDICAL,Blessure / médical,RISK_SET_ROBUST,Âge,42 ans et plus,66,7,0.10606060606060606,0.05233280771918243,0.20312525738814619
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Sexe,Femme,106,6,0.05660377358490566,0.026197262538493492,0.11802496292071321
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Sexe,Homme,113,7,0.061946902654867256,0.030327788623800853,0.12237125007474488
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Profil physique,Profil non physique,171,11,0.06432748538011696,0.036295382664577644,0.11150468322363201
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Profil physique,Profil physique,48,2,0.041666666666666664,0.011501652078965613,0.13975911147771472
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Âge,18–25 ans,51,6,0.11764705882352941,0.05504998764172768,0.23381102297794787
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Âge,26–33 ans,72,2,0.027777777777777776,0.007650861466140461,0.09574358168906721
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Âge,34–41 ans,61,4,0.06557377049180328,0.02579328695767287,0.15683021400467229
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Âge,42 ans et plus,35,1,0.02857142857142857,0.005061361365853362,0.1453340909327131
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Sexe,Femme,61,2,0.03278688524590164,0.009037700815687881,0.11189700776645692
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Sexe,Homme,78,9,0.11538461538461539,0.06190440604142225,0.2049720968617468
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Profil physique,Profil non physique,108,10,0.09259259259259259,0.051072779285118,0.16210013669605533
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Profil physique,Profil physique,31,1,0.03225806451612903,0.00571707408694444,0.16194457176169622
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Âge,18–25 ans,23,4,0.17391304347826086,0.06978540350612772,0.37138054785295666
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Âge,26–33 ans,53,3,0.05660377358490566,0.019436308927314183,0.15370448936126319
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Âge,34–41 ans,40,1,0.025,0.0044267174077949195,0.1288165948800778
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Âge,42 ans et plus,23,3,0.13043478260869565,0.04537576514344702,0.32127897973018194
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Sexe,Femme,79,9,0.11392405063291139,0.06110510202849083,0.20254987324963025
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Sexe,Homme,78,7,0.08974358974358974,0.04415244718641105,0.1738491559103026
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Profil physique,Profil non physique,128,14,0.109375,0.0662781874950252,0.1752358718003717
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Profil physique,Profil physique,29,2,0.06896551724137931,0.019120864097994433,0.21964947595851925
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Âge,18–25 ans,26,3,0.11538461538461539,0.04003171821149494,0.28976293086898336
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Âge,26–33 ans,61,6,0.09836065573770492,0.045863951367309724,0.1984483419752358
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Âge,34–41 ans,47,5,0.10638297872340426,0.046304099555199416,0.22594539692012788
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Âge,42 ans et plus,23,2,0.08695652173913043,0.02417949540723341,0.2679640429809402
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Sexe,Femme,32,10,0.3125,0.17952352116618736,0.4856699969803239
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Sexe,Homme,40,11,0.275,0.1610785343314309,0.4283525083312457
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Profil physique,Profil non physique,55,14,0.2545454545454545,0.1581197275732498,0.3830212339233784
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Profil physique,Profil physique,17,7,0.4117647058823529,0.21610786039131383,0.6399492561448447
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Âge,18–25 ans,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Âge,26–33 ans,26,7,0.2692307692307692,0.13704275525067386,0.46083403419761304
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Âge,34–41 ans,19,4,0.21052631578947367,0.08507538491591576,0.43334714240266087
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Âge,42 ans et plus,16,7,0.4375,0.2309836333518552,0.6682180439322347
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Sexe,Femme,22,4,0.18181818181818182,0.07306766024105121,0.38517021976637866
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Sexe,Homme,29,12,0.41379310344827586,0.2551293527964552,0.5926247152148476
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Profil physique,Profil non physique,41,11,0.2682926829268293,0.15694805281336685,0.41933825276002934
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Profil physique,Profil physique,10,5,0.5,0.23658959361548731,0.7634104063845126
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Âge,18–25 ans,8,2,0.25,0.07147768885802763,0.5907301208974108
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Âge,26–33 ans,19,4,0.21052631578947367,0.08507538491591576,0.43334714240266087
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Âge,34–41 ans,15,7,0.4666666666666667,0.24809225259746442,0.6988336984894921
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Âge,42 ans et plus,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Sexe,Femme,18,11,0.6111111111111112,0.3861866858065617,0.7969500807306884
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Sexe,Homme,17,9,0.5294117647058824,0.30962897311549487,0.738351988039119
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Profil physique,Profil non physique,30,17,0.5666666666666667,0.3919700954540873,0.7262276256938489
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Profil physique,Profil physique,5,3,0.6,0.23071993220883708,0.8823817688407467
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Âge,18–25 ans,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Âge,26–33 ans,15,9,0.6,0.357464427565077,0.8017577191740534
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Âge,34–41 ans,8,7,0.875,0.5291051942301386,0.9775830911367038
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Âge,42 ans et plus,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
