candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,season_year,age,gender,physical_score,event,censored,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,effective_departure_cause,_combined_text,_effective_cause,audit_keyword,expected_causes
KL33::lucie,KL33,Koh-Lanta : Les Armes secrètes,Lucie,20.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,"Finaliste [ 110 ] , [ 111 ] , [ 112 ] , [ 113 ] , [ 114 ]",JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,"le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 110 ] , [ 111 ] , [ 112 ] , [ 113 ] , [ 114 ] finaliste fin_de_jeu autre_sortie",JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL01::guénaëlle biras,KL01,KL KL01,Guénaëlle Biras,15.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,FINALISTE,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL02::nicolas roy,KL02,KL KL02,Nicolas Roy,15.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,FINALISTE,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL08::frédéric favier,KL08,KL KL08,Frédéric Favier,16.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,FINALISTE,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL13::teheiura teahui,KL13,Koh-Lanta : Raja Ampat,Teheiura Teahui,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 41,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 41 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL15::brice [ n 6 ],KL15,Koh-Lanta : Malaisie,Brice [ N 6 ],19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Finaliste,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL17::chantel ménard,KL17,Koh-Lanta : Johor,Chantel Ménard,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 40,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 40 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL18::pascal salviani,KL18,Koh-Lanta : Thaïlande,Pascal Salviani,20.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 40,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 40 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL22::cindy,KL22,Koh-Lanta : La Guerre des Chefs,Cindy,20.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Finaliste [ 32 ] [source secondaire souhaitée],JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 32 ] [source secondaire souhaitee] finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL25::géraldine nicolle,KL25,Koh-Lanta : Le Totem Maudit,Géraldine Nicolle,22.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-Up Day 39,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 39 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL26::tania,KL26,Koh-Lanta : Le Feu Sacré,Tania,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Finaliste [ 28 ],JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 28 ] finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL27::meïssa seck,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Meïssa Seck,22.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 38,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 38 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL29::maël,KL29,Koh-Lanta : La Revanche des 4 Terres,Maël,23.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,"Finaliste [ 72 ] , [ 73 ] , [ 74 ]",JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,"le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 72 ] , [ 73 ] , [ 74 ] finaliste fin_de_jeu autre_sortie",JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL31::jesta hillmann,KL31,Koh-Lanta : L'Île au trésor,Jesta Hillmann,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 42,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 42 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL32::brice,KL32,Koh-Lanta : Les 4 Terres,Brice,23.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,"Finaliste [ 101 ] [source secondaire souhaitée] , [ 102 ] [source secondaire souhaitée] , [ 103 ] [source secondaire souhaitée]",JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,"le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 101 ] [source secondaire souhaitee] , [ 102 ] [source secondaire souhaitee] , [ 103 ] [source secondaire souhaitee] finaliste fin_de_jeu autre_sortie",JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL33::lucie,KL33,Koh-Lanta : Les Armes secrètes,Lucie,20.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,"Finaliste [ 110 ] , [ 111 ] , [ 112 ] , [ 113 ] , [ 114 ]",JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,"le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 110 ] , [ 111 ] , [ 112 ] , [ 113 ] , [ 114 ] finaliste fin_de_jeu autre_sortie",JURY_FINAL_DECISION,ORIENTATION,FINALE_ORIENTATION
KL07::érick,KL07,KL KL07,Érick,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,HIGH,"Élimination décidée par vote au Conseil, malgré un handicap préalable lié aux ambassadeurs.",VOTE_CONSEIL,VALIDATED_BATCH_002,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,Érick reçoit un vote issu de la décision des ambassadeurs puis est éliminé au Conseil ; la sortie effective est classée comme vote au Conseil.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL,"elimination decidee par vote au conseil, malgre un handicap prealable lie aux ambassadeurs. erick recoit un vote issu de la decision des ambassadeurs puis est elimine au conseil ; la sortie effective est classee comme vote au conseil. indetermine indetermine indetermine indetermine",VOTE_CONSEIL,AMBASSADEURS,AMBASSADEURS
KL32::marie-france,KL32,Koh-Lanta : Les 4 Terres,Marie-France,10.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 50 ] [source secondaire souhaitée] , [ 51 ] [source secondaire souhaitée] , [ 52 ] [source secondaire souhaitée]",VOTE_CONSEIL,HIGH,Première sortie uniquement : élimination décidée par vote au Conseil.,VOTE_CONSEIL,VALIDATED_BATCH_004,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres,"Marie-France est d'abord éliminée au Conseil, puis revient après l'abandon médical de François et est ensuite éliminée aux ambassadeurs ; seule sa première sortie est retenue.",,,SECONDARY_DATABASE,,,,,,,,,,,,,,,VOTE_CONSEIL,"premiere sortie uniquement : elimination decidee par vote au conseil. marie-france est d'abord eliminee au conseil, puis revient apres l'abandon medical de francois et est ensuite eliminee aux ambassadeurs ; seule sa premiere sortie est retenue. eliminee [ 50 ] [source secondaire souhaitee] , [ 51 ] [source secondaire souhaitee] , [ 52 ] [source secondaire souhaitee] indetermine indetermine indetermine",VOTE_CONSEIL,AMBASSADEURS,AMBASSADEURS
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,16.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,FINALE_POTEAUX,HIGH,Élimination pendant l'épreuve finale des poteaux.,FINALE_POTEAUX,VALIDATED_BATCH_002,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Moussa tombe le premier lors de l'épreuve des poteaux et n'est pas choisi pour le jury final.,,,SECONDARY_DATABASE,,,,,,,,,,,,,,,FINALE_POTEAUX,elimination pendant l'epreuve finale des poteaux. moussa tombe le premier lors de l'epreuve des poteaux et n'est pas choisi pour le jury final. indetermine indetermine indetermine indetermine,FINALE_POTEAUX,JURY_FINAL,JURY_FINAL_DECISION
KL22::steeve,KL22,Koh-Lanta : La Guerre des Chefs,Steeve,19.0,INDETERMINE,INDETERMINE,INDETERMINE,Éliminé,FINALE_POTEAUX,HIGH,Élimination liée à l'épreuve finale des poteaux et au choix du vainqueur.,FINALE_POTEAUX,VALIDATED_BATCH_003,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,"Steeve n'est pas choisi par Cindy, gagnante des poteaux, pour accéder au jury final.",,,SECONDARY_DATABASE,,,,,,,,,,,,,,,FINALE_POTEAUX,"elimination liee a l'epreuve finale des poteaux et au choix du vainqueur. steeve n'est pas choisi par cindy, gagnante des poteaux, pour acceder au jury final. elimine indetermine indetermine indetermine",FINALE_POTEAUX,JURY_FINAL,JURY_FINAL_DECISION
KL26::nicolas,KL26,Koh-Lanta : Le Feu Sacré,Nicolas,18.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé [ 28 ],FINALE_POTEAUX,HIGH,Élimination liée à l'épreuve finale des poteaux et au choix du vainqueur.,FINALE_POTEAUX,VALIDATED_BATCH_004,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,"Nicolas n'est pas choisi par Frédéric, vainqueur des poteaux, pour accéder au jury final.",,,SECONDARY_DATABASE,,,,,,,,,,,,,,,FINALE_POTEAUX,"elimination liee a l'epreuve finale des poteaux et au choix du vainqueur. nicolas n'est pas choisi par frederic, vainqueur des poteaux, pour acceder au jury final. elimine [ 28 ] indetermine indetermine autre_sortie",FINALE_POTEAUX,JURY_FINAL,JURY_FINAL_DECISION
KL29::jérôme#row22,KL29,Koh-Lanta : La Revanche des 4 Terres,Jérôme,22.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 69 ] , [ 70 ] , [ 71 ]",FINALE_POTEAUX,HIGH,Élimination liée à l'épreuve finale des poteaux et au choix du vainqueur.,FINALE_POTEAUX,VALIDATED_BATCH_004,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Revanche_des_4_Terres,"Ce candidat Jérôme n'est pas choisi par Gaëlle, gagnante des poteaux, pour accéder au jury final.",,,SECONDARY_DATABASE,,,,,,,,,,,,,,,FINALE_POTEAUX,"elimination liee a l'epreuve finale des poteaux et au choix du vainqueur. ce candidat jerome n'est pas choisi par gaelle, gagnante des poteaux, pour acceder au jury final. elimine [ 69 ] , [ 70 ] , [ 71 ] indetermine indetermine autre_sortie",FINALE_POTEAUX,JURY_FINAL,JURY_FINAL_DECISION
KL32::loïc,KL32,Koh-Lanta : Les 4 Terres,Loïc,22.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 97 ] [source secondaire souhaitée] , [ 98 ] [source secondaire souhaitée] , [ 99 ] [source secondaire souhaitée] , [ 100 ] [source secondaire souhaitée]",FINALE_POTEAUX,HIGH,Élimination liée à l'épreuve finale des poteaux et au choix du vainqueur.,FINALE_POTEAUX,VALIDATED_BATCH_005_FINAL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Les_4_Terres,"Après l'épreuve finale, Brice choisit Alexandra pour le jury final ; Loïc est donc éliminé.",,,SECONDARY_DATABASE,,,,,,,,,,,,,,,FINALE_POTEAUX,"elimination liee a l'epreuve finale des poteaux et au choix du vainqueur. apres l'epreuve finale, brice choisit alexandra pour le jury final ; loic est donc elimine. elimine [ 97 ] [source secondaire souhaitee] , [ 98 ] [source secondaire souhaitee] , [ 99 ] [source secondaire souhaitee] , [ 100 ] [source secondaire souhaitee] indetermine indetermine indetermine",FINALE_POTEAUX,JURY_FINAL,JURY_FINAL_DECISION
